,date,calories,total_fat_g,protein_g,saturated_fat_g,cholesterol_mg,sodium_mg,carbohydrate_g,fiber_g,sugar_g,vitamin_d_iu,calcium_mg,potassium_mg,iron_mg
27,2009-01-01,101997.0,1837749509.305,1482229616.551,453830587.5,-232206373.0,29474849154.559998,15675157762.336,1149559115.428,4554709463.147,-52869072.4,8483777655.35,51711697573.05,722384217.7
28,2009-04-01,108400.0,2723308552.638,2330796835.396,729202529.9,-815656775.0,51443334703.479996,26693625526.675,1669817082.6899998,8656879151.847,-64626696.800000004,13624634453.31,78005666198.08,1149591169.238
29,2009-07-01,79380.0,473451102.39599997,424546120.62200004,131275356.3,126796572.0,10687893594.2,4556452472.71,317348335.502,1825932304.424,29455493.299999997,2750027656.12,14969893345.42,180020117.148
30,2009-10-01,101796.0,1410186577.195,1330191413.377,374371980.09999996,-238119763.0,28735663952.239998,16757046585.362,918452879.424,6192553086.267,-50578690.9,8274724572.63,44907071309.29,686155932.4319999
31,2010-01-01,94760.0,1294870460.9789999,919610346.8379999,361927049.0,56551571.0,29131763218.58,11712718409.64,573739684.873,5281949341.03,-58774217.50000001,6535106870.12,30290288895.93,441858639.804
32,2010-04-01,104782.0,2334905415.141,2054120326.053,590368022.28,-2389162318.0,49226307078.68,24529011355.451,1520481687.6299999,8434347554.514001,-263722262.60000002,11654259036.58,71543137044.13,1029152191.292
33,2010-07-01,77289.0,482993052.581,317128056.549,131648248.3,-367273998.0,7114071665.8,4378456968.172,198609559.954,1579076333.681,-84537165.2,1909936619.45,10573264450.65,170880603.388
34,2010-10-01,97118.0,1494220137.172,1156611358.141,389575145.6,-536091267.0,28495046071.32,14089682326.497,810689221.221,5066409089.046,-102309289.9,7674635607.28,41694205139.270004,583211634.114
35,2011-01-01,90798.0,1425731613.799,1118580606.371,362057885.78999996,-655568141.0,30120459717.92,13771866090.383,797501297.106,5542502218.7109995,-198760094.8,7104730728.11,39120422393.18,551526934.523
36,2011-04-01,102065.0,2735604733.455,2406197146.481,673981558.02,-433402953.0,55304425626.119995,26961430988.151,1802014768.9919999,8763329068.564,-221583388.5,13697306157.04,83400179306.11,1178983217.07
